39,6,77516,13,3,9,4,1,1,2174,0,40
50,2,83311,13,1,5,3,1,1,0,0,13
38,1,2.1565e+05,9,2,7,4,1,1,0,0,40
53,1,2.3472e+05,7,1,7,3,5,1,0,0,40
28,1,3.3841e+05,13,1,6,1,5,2,0,0,40
37,1,2.8458e+05,14,1,5,1,1,2,0,0,40
49,1,1.6019e+05,5,6,3,4,5,2,0,0,16
52,2,2.0964e+05,9,1,5,3,1,1,0,0,45
31,1,45781,14,3,6,4,1,2,14084,0,50
42,1,1.5945e+05,13,1,5,3,1,1,5178,0,40
37,1,2.8046e+05,10,1,5,3,5,1,0,0,80
30,6,1.413e+05,13,1,6,3,2,1,0,0,40
23,1,1.2227e+05,13,3,9,2,1,2,0,0,30
32,1,2.0502e+05,12,3,4,4,5,1,0,0,50
40,1,1.2177e+05,11,1,2,3,2,1,0,0,40
34,1,2.4549e+05,4,1,11,3,3,1,0,0,45
25,2,1.7676e+05,9,3,10,2,1,1,0,0,35
32,1,1.8682e+05,9,3,8,6,1,1,0,0,40
38,1,28887,7,1,4,3,1,1,0,0,50
43,2,2.9218e+05,14,2,5,6,1,2,0,0,45
40,1,1.9352e+05,16,1,6,3,1,1,0,0,60
54,1,3.0215e+05,9,4,3,6,5,2,0,0,20
35,4,76845,5,1,10,3,5,1,0,0,40
43,1,1.1704e+05,7,1,11,3,1,1,0,2042,40
59,1,1.0902e+05,9,2,1,6,1,2,0,0,40
56,5,2.1685e+05,13,1,1,3,1,1,0,0,40
19,1,1.6829e+05,9,3,2,2,1,1,0,0,40
54,NaN,1.8021e+05,10,1,NaN,3,2,1,0,0,60
39,1,3.6726e+05,9,2,5,4,1,1,0,0,80
49,1,1.9337e+05,9,1,2,3,1,1,0,0,40
23,5,1.9071e+05,12,3,13,4,1,1,0,0,52
20,1,2.6602e+05,10,3,4,2,5,1,0,0,44
45,1,3.8694e+05,13,2,5,2,1,1,0,1408,40
30,4,59951,10,1,9,2,1,1,0,0,40
22,6,3.1151e+05,10,1,3,3,5,1,0,0,15
48,1,2.4241e+05,7,3,8,6,1,1,0,0,40
21,1,1.972e+05,10,3,8,2,1,1,0,0,40
19,1,5.4409e+05,9,7,9,1,1,2,0,0,25
31,1,84154,10,1,4,3,1,1,0,0,38
48,2,2.6548e+05,12,1,6,3,1,1,0,0,40
31,1,5.0788e+05,5,1,8,3,1,1,0,0,43
53,2,88506,13,1,6,3,1,1,0,0,40
24,1,1.7299e+05,13,1,1,3,1,1,0,0,50
49,1,94638,9,4,9,6,1,2,0,0,40
25,1,2.8998e+05,9,3,7,4,1,1,0,0,35
57,4,3.379e+05,13,1,6,3,5,1,0,0,40
53,1,1.4436e+05,9,1,8,3,1,1,0,0,38
44,1,1.2835e+05,14,2,5,6,1,2,0,0,40
41,6,1.016e+05,11,1,2,3,1,1,0,0,40
29,1,2.7147e+05,11,3,6,4,1,1,0,0,43
25,1,32275,10,1,5,1,4,2,0,0,40
18,1,2.2696e+05,9,3,3,2,1,2,0,0,30
47,1,51835,15,1,6,1,1,2,0,1902,60
50,4,2.5158e+05,13,2,5,4,1,1,0,0,55
47,3,1.0983e+05,9,2,5,4,1,1,0,0,60
43,1,2.3799e+05,10,1,1,3,1,1,0,0,40
